macrozona,n_comunas,pearson_v1,p_pearson_v1,spearman_v1,p_spearman_v1,pearson_v2,p_pearson_v2,spearman_v2,p_spearman_v2,media_pobreza,media_expo_v2
Norte Grande,20,-0.2433028081573098,0.3012952271201508,-0.48872180451127817,0.02877203005499609,-0.2850509378729985,0.22315732111318237,-0.43909774436090226,0.052750717433839675,0.24862596789747562,7.094998858865249e-4
Norte Chico,24,0.07096585133073399,0.7417652165124407,0.039999999999999994,0.8527804394339903,0.07364217050587102,0.7323682090303334,-0.05478260869565217,0.7993082434882638,0.2249053052868192,1.3864560532275328e-4
Centro,123,-0.043694032164515444,0.6313186474134131,-0.22044443584600604,0.014281489106225904,-0.035023238027996166,0.7005497081158852,-0.3308160606725052,1.860368495549799e-4,0.16435615054888503,8.803455530255142e-5
Centro-Sur,116,-0.013551906113605242,0.8851969069935812,-0.19015876677046092,0.040895470851168764,-0.005378180757206412,0.9543079068383,-0.3117210625456503,6.58584585536168e-4,0.26423645174661947,5.81107813360348e-5
Sur,42,-0.22480735397953253,0.15233107125998413,-0.3836804148772385,0.012130825696665484,-0.23661548711652616,0.1313800264076196,-0.18013126975123572,0.25365296983186025,0.2030271655451724,2.3107240652696557e-4
Austral,20,-0.5909320609208614,0.006075027538487485,-0.36555098485838095,0.1129764144687818,-0.23574647185975958,0.3170197947795881,0.18646616541353384,0.4311949104342513,0.11790619706420258,5.476080026606286e-5
