codigo_comuna,poblacion_grid,expo_promedio_hab
01401,26437.452710181475,8.272390543877748e-5
01403,1409.4227602481842,2.270990774377101e-8
01405,53699.255767822266,2.6072419165813083e-6
01402,719.3664855957031,1.7849811208826116e-9
01404,3984.4602403640747,2.504210012980676e-4
01107,110370.94597148895,2.725083530313701e-6
01101,218565.7724723816,1.4910391783665467e-4
02104,8718.2567076087,7.836572729929601e-7
02101,427665.72671306133,2.276168745911681e-5
02201,148985.25214982033,0.005249349452551076
02202,174.1233377456665,1.3503440990193954e-8
02203,16459.80461215973,4.344299554787598e-6
02102,13425.019380688667,0.00753067415480858
02103,5608.054285526276,7.59979669603212e-5
02302,1559.20301425457,6.528452627554116e-6
02301,16327.000677108765,8.00622691802679e-4
03201,10420.98056614399,1.769029303163583e-6
03202,6560.477681040764,5.338748049203849e-6
03101,195019.14490142465,3.167041801675701e-6
03102,14997.621010184288,7.967374700059282e-6
03301,41612.680619716644,5.088681491555568e-7
03303,5767.202907681465,4.849701466105325e-7
03304,7292.30360519886,0.0028656311616559235
03302,4411.808881402016,3.8204004406377196e-8
03103,13906.160928145051,9.626163471572368e-6
04302,10167.575892448425,4.5631822502588794e-7
04304,10596.252506256104,2.6409778252107572e-5
04103,6347.657974362373,8.272097871495308e-6
04102,264287.35427331924,5.944449987758889e-6
04202,7008.755951762199,5.945607122089076e-7
04201,30042.41405105591,7.55421656045151e-7
04104,3556.35542678833,4.950831368827501e-7
04101,269710.31815862656,9.094755937463764e-6
04203,18124.703367710114,1.9506086589756235e-5
04204,25022.742548704147,6.289784440357469e-6
04303,31624.26519727707,6.441848144777603e-7
04301,119124.24211931229,3.411989101145996e-4
04305,3723.531801700592,2.654644808780505e-10
04105,4613.213382720947,3.565751604604223e-7
04106,27240.764447450638,1.294469410118747e-5
05604,21040.233276844025,6.096060348254017e-7
05602,17656.31992983818,2.7696867346797133e-7
05502,56213.49136734009,0.001752842970283806
05506,29523.169761180878,1.5949417625974045e-5
05503,20918.932193756104,3.169467487106302e-5
05603,33033.31631040573,2.78694273906656e-6
05605,16623.049810171127,4.6118418013373584e-7
05109,270930.3316049576,2.085778702119917e-5
05103,99722.1720533371,4.7563510278654785e-4
05201,6146.485216617584,3.528297657002906e-7
05401,42096.64674139023,1.1386447956522579e-6
05304,19326.05163002014,2.360924801237946e-6
05301,86716.84979343414,1.4057146921496086e-06
05803,17181.60204720497,8.183321349679158e-8
05802,48700.475650310516,6.728142389619677e-7
05704,8089.771349906921,4.6438789921956064e-5
05703,23963.886160373688,4.184114912254743e-5
05403,6139.263970375061,1.0937738586028016e-6
05405,8204.694871902466,3.721413879925569e-7
05402,21660.559588432312,1.6597154241335823e-5
05404,9344.40723156929,6.376290323309227e-6
05105,18321.831139087677,0.003433759741639979
05107,26261.551316022873,1.0086341483800482e-4
05705,18723.443698883057,1.6983804192381602e-6
05706,15422.424133300781,4.6634243217319014e-7
05504,18805.954254627228,4.5001260524850565e-5
05501,94902.89704847336,8.814974645188535e-6
05804,170878.76183700562,1.0884948743327201e-6
05801,187536.54018306732,4.637478955955297e-6
05302,12610.256017684937,5.284922636570477e-7
05303,8961.783149003983,2.1821879139842287e-6
05702,13695.358054637909,0.0023983415159752734
05701,87264.73373508453,1.5683765234543753e-5
05606,10397.641614675522,5.583943310533818e-7
05601,101156.62354135513,8.93311660568954e-6
05102,37719.65454864502,3.596586863520522e-6
05101,241814.39188289642,1.1236315223999239e-5
05104,985.9298477172852,0
06310,38568.15551376343,4.607425135641339e-6
06306,11288.419770002365,2.382225386133119e-5
06302,12721.8551633358,2.598597266569621e-7
06103,7456.410960197449,7.668969144316863e-7
06104,17628.870242118835,1.3813740677500742e-6
06117,51394.48269033432,2.0686117237177175e-6
06105,22423.04607629776,9.963643292802324e-6
06111,15256.8705971241,7.2047810827701975e-6
06116,28039.197396039963,9.0600197781568e-6
06203,5270.305587530136,9.371132400049817e-8
06205,4824.905005455017,6.452049802995473e-8
06202,4984.359081149101,5.44186685161833e-6
06115,67530.08658719063,2.8442374701094293e-5
06109,13701.408684015274,1.6694610767002267e-5
06114,11902.663703918457,5.195295318281549e-6
06106,33409.44376516342,1.0839605674854357e-5
06110,30233.988783836365,4.144275536590972e-5
06102,13993.129046082497,3.111515746482056e-6
06204,8098.5198431015015,6.480887797213798e-7
06206,6383.423884391785,2.2570783729355874e-7
06201,16620.220704078674,8.592858375080206e-6
06309,2588.1707916259766,2.299120417107018e-9
06307,10530.218491077423,1.2947485744590517e-6
06304,6513.503121614456,6.53984377970242e-7
06112,15751.736378192902,7.373645979464326e-6
06113,19356.387301445007,3.8802237109826924e-6
06107,25573.831458091736,1.7885775422810495e-6
06308,8306.293520450592,9.170196505583236e-6
06305,17850.937652111053,2.7457883523572185e-6
06101,267128.1796154976,4.959824612414493e-6
06108,40634.71677827835,6.016937871201494e-6
06301,78215.6506819725,1.2335324733123093e-5
06303,34174.35983157158,6.238768909959941e-6
07201,41170.25586652756,1.0286404590120538e-6
07202,8959.022557258606,5.738269263773799e-6
07203,8555.376989364624,1.3418732115014462e-7
07102,59749.99781703949,1.3709627457502707e-4
07104,3544.5852088928223,3.7998714575034517e-7
07103,7630.208380222321,6.399335247106159e-7
07107,9308.613825798035,1.6918319853023507e-6
07304,43895.95932149887,8.655509111553252e-5
07301,154160.53759908676,1.4020477701064603e-5
07302,10129.336603164673,4.0958208633078764e-7
07307,18057.94920682907,4.761765761737342e-6
07305,10050.918988227844,1.7522756631775435e-6
07303,7811.6334319114685,5.773718642189345e-7
07309,4603.873368263245,3.5224489421609245e-8
07401,92511.59964942932,4.256316317636092e-5
07402,18169.060871124268,3.0165430602835655e-7
07403,27029.675037384033,1.7256571787970319e-6
07404,34819.16700863838,2.926870713079583e-6
07405,15031.318481683731,4.300681624825949e-6
07406,40647.26201725006,2.023470879569416e-6
07308,28266.65579175949,8.432446926049724e-5
07306,15870.301872253418,1.9138812952645904e-5
07109,37894.68326473236,7.791837239662802e-5
07106,6115.219452381134,4.8347682522669715e-8
