codigo_comuna,nombre_comuna,region,cai_v1,ranking_v1,quintil_v1,cai_v2,ranking_v2,quintil_v2,expo_promedio_hab,cambio_ranking
10103,Cochamó,Los Lagos,21.771305424898532,15,Q5 · Muy alto,19.820033684144093,25,Q5 · Muy alto,1.4657269277457502e-4,-10
10101,Puerto Montt,Los Lagos,0.5057740148426063,114,Q4 · Alto,6.266135717705902,81,Q4 · Alto,3.60206402633998e-5,33
10109,Puerto Varas,Los Lagos,0.633566935379335,101,Q4 · Alto,8.011621945473095,68,Q5 · Muy alto,4.9790464919474144e-5,33
10302,Puerto Octay,Los Lagos,0.7950887060615427,92,Q4 · Alto,0.7955824175743987,211,Q2 · Bajo,4.114424934623391e-6,-119
10304,Puyehue,Los Lagos,2.987602172081146,59,Q5 · Muy alto,1.648351792181188,171,Q3 · Medio,8.442514027410082e-6,-112
10306,San Juan De La Costa,Los Lagos,0.928241825826301,83,Q4 · Alto,0.027696719477479297,323,Q1 · Muy bajo,1.2360512115511348e-7,-240
10305,Río Negro,Los Lagos,1.7709175182735497,74,Q4 · Alto,1.4787716355121112,178,Q3 · Medio,7.431020664942855e-6,-104
10303,Purranque,Los Lagos,1.923475595389515,68,Q5 · Muy alto,10.292597955025213,57,Q5 · Muy alto,6.34568336034681e-5,11
10207,Queilén,Los Lagos,3.0372560485079325,58,Q5 · Muy alto,0.279072477751462,256,Q2 · Bajo,1.3160141318248094e-6,-198
10208,Quellón,Los Lagos,1.9830841828934158,66,Q5 · Muy alto,2.3857918202310135,140,Q3 · Medio,1.2347925825793262e-5,-74
10307,San Pablo,Los Lagos,0.4513139689784035,123,Q4 · Alto,5.928385069215097,86,Q4 · Alto,3.207088275032061e-5,37
10301,Osorno,Los Lagos,0.5715770235132086,107,Q4 · Alto,6.07496083734204,84,Q4 · Alto,3.408087760236641e-5,23
11202,Cisnes,Aysén,18.809226147246942,16,Q5 · Muy alto,4.659776521306588,101,Q4 · Alto,2.5441655959652616e-5,-85
11203,Guaitecas,Aysén,10.004666306863635,26,Q5 · Muy alto,15.292876277281593,32,Q5 · Muy alto,1.0510522536866954e-4,-6
11401,Chile Chico,Aysén,6.597158100018673,38,Q5 · Muy alto,11.879377266349572,50,Q5 · Muy alto,7.544333977919538e-5,-12
11402,Río Ibáñez,Aysén,0.2775380003407165,147,Q3 · Medio,0.5853884476909356,226,Q2 · Bajo,2.7906359247705123e-6,-79
11303,Tortel,Aysén,0.07518694770485099,244,Q2 · Bajo,0.054479826942013206,313,Q1 · Muy bajo,2.5640831054675147e-7,-69
11302,O’higgins,Aysén,0,341,Q1 · Muy bajo,0,343,Q1 · Muy bajo,0,-2
11301,Cochrane,Aysén,4.939333317158313,42,Q5 · Muy alto,3.6622191394043044,115,Q4 · Alto,2.0082077710042033e-5,-73
11101,Coyhaique,Aysén,0.8132993605597401,91,Q4 · Alto,17.1886250856595,30,Q5 · Muy alto,1.2846612907407964e-4,61
11102,Lago Verde,Aysén,6.624784715221668,37,Q5 · Muy alto,1.7754436600032604,164,Q3 · Medio,9.217313502466058e-6,-127
11201,Aysén,Aysén,8.831068634269926,28,Q5 · Muy alto,6.304086960722885,79,Q4 · Alto,3.6639530880715046e-5,-51
12102,Laguna Blanca,Magallanes,0,341,Q1 · Muy bajo,4.0167137263693755e-5,342,Q1 · Muy bajo,2.1378637938022957e-10,-1
12103,Río Verde,Magallanes,50.72921608064859,3,Q5 · Muy alto,0.028303272847561338,322,Q1 · Muy bajo,1.623758379132488e-7,-319
12402,Torres Del Paine,Magallanes,7.083167279474677,34,Q5 · Muy alto,5.425438299856391,96,Q4 · Alto,3.181710096523909e-5,-62
12401,Natales,Magallanes,3.559949675355349,51,Q5 · Muy alto,2.184811355717527,145,Q3 · Medio,1.1744379201058201e-5,-94
12301,Porvenir,Magallanes,0.7392176280007463,96,Q4 · Alto,3.025880986001581,127,Q4 · Alto,1.733643041854739e-5,-31
12302,Primavera,Magallanes,32.44154941408532,9,Q5 · Muy alto,39.18803244191257,12,Q5 · Muy alto,5.65374156664277e-4,-3
12303,Timaukel,Magallanes,13.953065008187352,22,Q5 · Muy alto,0.0017110055835476657,337,Q1 · Muy bajo,9.390195252928215e-9,-315
12201,Cabo De Hornos,Magallanes,14.750515361222579,19,Q5 · Muy alto,5.681509662815186,92,Q4 · Alto,3.393295110512132e-5,-73
12104,San Gregorio,Magallanes,35.43493318180518,7,Q5 · Muy alto,0.5543372804245515,230,Q2 · Bajo,3.0074929611837627e-6,-223
12101,Punta Arenas,Magallanes,0.6234642574669286,105,Q4 · Alto,4.875339333466648,100,Q4 · Alto,2.838919767614722e-5,5
13404,Paine,Metropolitana,0.2818858318757802,146,Q3 · Medio,3.8854408832238905,110,Q4 · Alto,2.0990527938380405e-5,36
13402,Buin,Metropolitana,0.12208470814694117,209,Q2 · Bajo,2.102001340586444,148,Q3 · Medio,1.085788776638471e-5,61
13124,Pudahuel,Metropolitana,0.7220740279593284,97,Q4 · Alto,10.133526684161092,58,Q5 · Muy alto,6.319554140547138e-5,39
13103,Cerro Navia,Metropolitana,0.02275948837078291,304,Q1 · Muy bajo,5.003764956104883,99,Q4 · Alto,2.697067013662769e-5,205
13301,Colina,Metropolitana,0.10563208116178825,217,Q2 · Bajo,2.0134021623283056,150,Q3 · Medio,1.0819045578882847e-5,67
13303,Tiltil,Metropolitana,25.64079222142816,12,Q5 · Muy alto,7.348422497846817,73,Q4 · Alto,4.365861307275889e-5,-61
13302,Lampa,Metropolitana,0.2772237449093644,148,Q3 · Medio,4.222840063491798,106,Q4 · Alto,2.29777354259119e-5,42
13107,Huechuraba,Metropolitana,0.3766679106754145,129,Q4 · Alto,13.402067005222323,40,Q5 · Muy alto,9.364520906490584e-5,89
13104,Conchalí,Metropolitana,0.05716447518505316,262,Q2 · Bajo,6.2295961043966885,83,Q4 · Alto,3.545612156377549e-5,179
13504,María Pinto,Metropolitana,0,341,Q1 · Muy bajo,0.009409186184809903,330,Q1 · Muy bajo,4.574766278889598e-8,11
13503,Curacaví,Metropolitana,0.09959788542354293,221,Q2 · Bajo,0.49875751457657236,234,Q2 · Bajo,2.4224748199605967e-6,-13
13112,La Pintana,Metropolitana,0.0574427534696381,261,Q2 · Bajo,2.4896032989409274,137,Q4 · Alto,1.2249612348442334e-5,124
13105,El Bosque,Metropolitana,0.013420567774591234,320,Q1 · Muy bajo,1.8385728317428214,157,Q3 · Medio,9.158231002086252e-6,163
13106,Estación Central,Metropolitana,0.08550429813857408,234,Q2 · Bajo,8.385455741928524,65,Q5 · Muy alto,5.020430945979528e-5,169
13121,Pedro Aguirre Cerda,Metropolitana,0.014910324699504209,319,Q1 · Muy bajo,4.3008171621109925,104,Q4 · Alto,2.2513655301197372e-5,215
13127,Recoleta,Metropolitana,0.10000748352129177,220,Q2 · Bajo,7.5586270701519505,72,Q4 · Alto,4.48004835242566e-5,148
13108,Independencia,Metropolitana,0.03472202684293921,286,Q1 · Muy bajo,9.213334695302933,62,Q5 · Muy alto,5.8153634026470374e-5,224
13603,Isla De Maipo,Metropolitana,0.03220567506624041,291,Q1 · Muy bajo,0.5546301441507758,229,Q2 · Bajo,2.7771996018859338e-6,62
13116,Lo Espejo,Metropolitana,0.026595098280454813,299,Q1 · Muy bajo,6.430278386770216,78,Q4 · Alto,3.488362468588032e-5,221
13109,La Cisterna,Metropolitana,0.11633339423042587,212,Q2 · Bajo,5.454885592252669,95,Q4 · Alto,3.1484563949323755e-5,117
13110,La Florida,Metropolitana,0.017899394180259532,311,Q1 · Muy bajo,1.8358790296747232,158,Q3 · Medio,9.8140820719429e-6,153
13122,Peñalolén,Metropolitana,0.015084628726719907,318,Q1 · Muy bajo,2.7017851124638943,133,Q4 · Alto,1.456880544925934e-5,185
13114,Las Condes,Metropolitana,0.3755711374990042,130,Q4 · Alto,15.09083488837283,34,Q5 · Muy alto,1.1867659152491541e-4,96
13113,La Reina,Metropolitana,0.4032625615892003,125,Q4 · Alto,11.89162497142356,49,Q5 · Muy alto,8.417014461891816e-5,76
13115,Lo Barnechea,Metropolitana,0.22487101481468133,162,Q3 · Medio,6.862020941751644,77,Q4 · Alto,4.463405056758647e-5,85
13132,Vitacura,Metropolitana,0.6282424585143145,102,Q4 · Alto,11.147661428670522,54,Q5 · Muy alto,8.149047458207218e-5,48
13126,Quinta Normal,Metropolitana,0.06226167484689356,257,Q2 · Bajo,5.77510351074749,90,Q4 · Alto,3.351169513817777e-5,167
13117,Lo Prado,Metropolitana,0.006567257866791287,330,Q1 · Muy bajo,2.32205589540572,141,Q3 · Medio,1.2068671818187654e-5,189
13102,Cerrillos,Metropolitana,0.15615292584739432,190,Q3 · Medio,14.077197052453197,37,Q5 · Muy alto,9.448210994577572e-5,153
13119,Maipú,Metropolitana,0.19962398290233863,170,Q3 · Medio,11.068910150450906,55,Q5 · Muy alto,7.267361421707187e-5,115
13501,Melipilla,Metropolitana,0.08042809597594232,240,Q2 · Bajo,0.9880738463687904,201,Q3 · Medio,4.779212220043747e-6,39
13118,Macul,Metropolitana,0.29217425256393853,142,Q3 · Medio,13.15491733397279,43,Q5 · Muy alto,8.945941058177765e-5,99
13120,Ñuñoa,Metropolitana,0.016104475764844868,314,Q1 · Muy bajo,5.720767340239057,91,Q4 · Alto,3.525757318371386e-5,223
13605,Peñaflor,Metropolitana,0.029023444929122844,293,Q1 · Muy bajo,2.1357769922565097,146,Q3 · Medio,1.111225923986762e-5,147
13604,Padre Hurtado,Metropolitana,4.1721667881291005,45,Q5 · Muy alto,21.857959366123286,24,Q5 · Muy alto,1.8096801165062734e-4,21
13201,Puente Alto,Metropolitana,0.06626698981711047,251,Q2 · Bajo,5.916286822893865,88,Q4 · Alto,3.400975153781987e-5,163
13125,Quilicura,Metropolitana,0.3322404859996688,137,Q4 · Alto,13.180860857157583,41,Q5 · Muy alto,8.954515716475735e-5,96
13128,Renca,Metropolitana,0.2521559428291264,156,Q3 · Medio,12.0659678142035,46,Q5 · Muy alto,7.649327717978404e-5,110
13403,Calera De Tango,Metropolitana,0.16352992722100565,187,Q3 · Medio,0.7021656321939442,216,Q2 · Bajo,3.681775661586219e-6,-29
13401,San Bernardo,Metropolitana,0.10933971430963148,215,Q2 · Bajo,4.165223818209277,108,Q4 · Alto,2.2254472506112705e-5,107
13203,San José De Maipo,Metropolitana,0.5279759540978016,110,Q4 · Alto,1.3236334636367673,183,Q3 · Medio,6.8594096440478e-6,-73
13202,Pirque,Metropolitana,0.1222025897462354,208,Q2 · Bajo,0.9228616031492047,207,Q3 · Medio,4.7968954342122545e-6,1
13129,San Joaquín,Metropolitana,0.05505386121065134,265,Q2 · Bajo,6.230367193754614,82,Q4 · Alto,3.583800714857697e-5,183
13130,San Miguel,Metropolitana,0.19476511517707953,173,Q3 · Medio,11.944702660877637,48,Q5 · Muy alto,8.118654159764709e-5,125
13131,San Ramón,Metropolitana,0.004169773231900261,336,Q1 · Muy bajo,2.885315297498977,130,Q4 · Alto,1.4746752034080895e-5,206
13111,La Granja,Metropolitana,0.09397747858379485,225,Q2 · Bajo,6.276851834548747,80,Q4 · Alto,3.4848927801391924e-5,145
13123,Providencia,Metropolitana,0.1234581532748727,207,Q3 · Medio,9.972174659888331,60,Q5 · Muy alto,7.068673747916779e-5,147
13101,Santiago,Metropolitana,0.05348846902126445,267,Q2 · Bajo,8.543349460264983,64,Q5 · Muy alto,5.3833781533344366e-5,203
13602,El Monte,Metropolitana,0.09295832924877499,227,Q2 · Bajo,1.4536990214977692,179,Q3 · Medio,7.20349062655302e-6,48
13601,Talagante,Metropolitana,0.09685267172929242,222,Q2 · Bajo,1.2548295570811077,190,Q3 · Medio,6.286625309758494e-6,32
13505,San Pedro,Metropolitana,2.911220970721202,60,Q5 · Muy alto,7.633682326031929,70,Q4 · Alto,4.247574285396403e-5,-10
13502,Alhué,Metropolitana,3.7003842382551158,50,Q5 · Muy alto,10.916293031605868,56,Q5 · Muy alto,6.494608712258448e-5,-6
